DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/12/04 16:43:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CARNAUBAIS,Caatinga,0.0,0.0,0.95,-5.26071,-36.87033,32.6
2023/12/04 16:43:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PORTO DO MANGUE,Caatinga,1.0,0.0,1.0,-5.11657,-36.91879,11.2
2023/11/30 17:13:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,UMARIZAL,Caatinga,2.0,0.0,1.0,-5.98044,-37.89729,71.9
2023/11/30 17:13:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,UMARIZAL,Caatinga,2.0,0.0,1.0,-5.97987,-37.90536,75.8
2024/02/01 16:30:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRINHA,Caatinga,4.0,0.0,0.93,-6.29103,-35.59439,18.7
2024/02/01 16:30:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,IELMO MARINHO,Caatinga,6.0,0.0,0.97,-5.77866,-35.55193,31.3
2024/02/01 16:32:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO CÂMARA,Caatinga,4.0,0.0,1.0,-5.47236,-35.78956,11.6
2024/02/01 16:32:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO CÂMARA,Caatinga,4.0,0.0,1.0,-5.47103,-35.78048,28.3
2024/02/01 16:32:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO CÂMARA,Caatinga,4.0,0.0,1.0,-5.46338,-35.79089,87.2
2024/02/01 16:32:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO CÂMARA,Caatinga,4.0,0.0,1.0,-5.46206,-35.78183,139.0
2024/02/01 16:32:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,BARAÚNA,Caatinga,-999.0,0.0,1.0,-4.98187,-37.55315,10.0
2024/02/05 16:00:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,-999.0,0.0,1.0,-4.93352,-37.43735,33.7
2024/02/06 16:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga,5.0,0.0,0.42,-6.65634,-37.34676,14.7
2024/02/06 16:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ENCANTO,Caatinga,2.0,0.0,0.91,-6.1487,-38.34361,20.6
2024/02/06 16:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JUCURUTU,Caatinga,7.0,0.0,0.52,-5.96844,-36.94098,14.2
2024/02/06 16:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CARAÚBAS,Caatinga,6.0,0.0,0.55,-5.73278,-37.58235,11.0
2024/02/06 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,3.0,0.1,0.83,-5.05579,-37.42509,9.4
